,open,high,low,close,volume,rsi_score,bollinger_bands_score,obv_score,combined_score,decision
2024-01-01 00:00:00,100.04868957812458,100.21146858690514,99.94058235793516,100.0496837535914,8889,50.0,50.0,50.0,50.0,Hold
2024-01-01 00:01:00,100.03048624917939,100.11292151099583,99.93131589672873,100.0358514102665,6238,50.0,50.0,50.0,50.0,Hold
2024-01-01 00:02:00,100.16174003608424,100.21511572060179,100.00677471222794,100.1006644716968,2817,50.0,50.0,50.0,50.0,Hold
2024-01-01 00:03:00,100.19926664521344,100.27176960748878,100.09296733307856,100.25323692904489,8570,50.0,50.0,50.0,50.0,Hold
2024-01-01 00:04:00,100.1915514813185,100.25504247439392,100.08374454562787,100.22976504340886,6103,50.0,50.0,50.0,50.0,Hold
2024-01-01 00:05:00,100.25822233771657,100.40373763169832,100.1436941492671,100.20630029831507,1617,50.0,50.0,50.0,50.0,Hold
2024-01-01 00:06:00,100.33478705631235,100.58576706764528,100.31659744920456,100.36467239064581,9509,50.0,50.0,50.0,50.0,Hold
2024-01-01 00:07:00,100.48695083655495,100.46387931215197,100.35599161828796,100.44172528857165,7285,50.0,50.0,50.0,50.0,Hold
2024-01-01 00:08:00,100.47988862070981,100.41936956944302,100.36809553181833,100.39458153852698,1456,50.0,50.0,50.0,50.0,Hold
2024-01-01 00:09:00,100.42888643871038,100.56209147770063,100.42485053933318,100.44906640638189,1500,50.0,50.0,51.58286776882034,50.395716942205084,Hold
2024-01-01 00:10:00,100.43673256593755,100.51183488601873,100.38374458663841,100.40252731613448,9074,50.0,50.0,65.61826527433095,53.90456631858274,Hold
2024-01-01 00:11:00,100.2978879159104,100.4121247814612,100.27224155554732,100.3557777590046,3315,50.0,50.0,47.91108405901101,49.477771014752754,Hold
2024-01-01 00:12:00,100.41794309690202,100.43656237710769,100.35714013813882,100.38006300889455,4874,50.0,50.0,58.22442463656876,52.05610615914219,Hold
2024-01-01 00:13:00,100.19818139220754,100.2019914556915,100.1649937470401,100.18819142796586,7630,50.0,50.0,58.75859466486178,52.18964866621545,Hold
2024-01-01 00:14:00,100.03917957717596,100.09355627531022,99.90085900577856,100.01552399134685,5973,52.33476086891769,50.0,52.28631823163011,51.505483905474605,Hold
2024-01-01 00:15:00,99.92703685037229,100.07667475958998,99.88026587542426,99.95930231733038,5774,56.13452224562519,50.0,44.81389804728175,51.15728341007051,Hold
2024-01-01 00:16:00,99.77517535173158,99.89365466704164,99.77962147593372,99.85811167834095,2003,62.47211866128748,50.0,29.603416042943607,49.88970147525089,Hold
2024-01-01 00:17:00,99.91463155239813,100.05410241940885,99.7747057825077,99.88949675465385,7848,59.863494806685395,50.0,58.71159259139888,56.12329607052388,Hold
2024-01-01 00:18:00,99.69587323782082,99.80565432310942,99.74646216597847,99.79883585407836,5196,65.39340003826214,50.0,50.57634304777518,56.30144577724866,Hold
2024-01-01 00:19:00,99.64217581549616,99.6705771226383,99.57043964853031,99.65798907144001,7715,72.80681963744217,100.0,52.09285461050054,77.145941507602,Buy
2024-01-01 00:20:00,99.85112670440834,100.03430283321413,99.67626922634749,99.80415977172314,2066,60.87059980697992,84.68724253886415,36.03796591806023,62.99826629090948,Hold
2024-01-01 00:21:00,99.79120283565466,99.92125754201939,99.77447392528583,99.7816289013207,5716,62.143947769307125,84.07779580124446,49.256402262142615,66.59890820369407,Hold
2024-01-01 00:22:00,99.88557816872925,99.86784168896956,99.69812906294581,99.78836720309138,7608,61.5901951307611,80.59603866403842,62.44289919532451,68.45541638354901,Hold
2024-01-01 00:23:00,99.69736930498782,99.8121052083505,99.56751301384841,99.64629514040317,4234,69.58565897725062,88.79241364487443,49.81090060823061,71.36433351866395,Buy
2024-01-01 00:24:00,99.55950263617463,99.62441745276935,99.51094291352379,99.59206418130371,7494,72.3164326332703,88.4528910335906,55.149963472674344,73.67257578323341,Buy
2024-01-01 00:25:00,99.60447205249493,99.68873370505437,99.41360430993348,99.60311180368137,5498,71.27558794503685,83.53493118364665,56.016447955780244,71.75157308123612,Buy
2024-01-01 00:26:00,99.48617879190921,99.58623489414121,99.40612860643772,99.48853521281328,6267,77.00850651814835,88.04869150711937,52.85276651075089,74.83363626243884,Buy
2024-01-01 00:27:00,99.44718608168107,99.59426755395454,99.38063326922186,99.52591988057391,7171,73.3218190757243,82.0021231988164,64.66684930329498,74.19618307569921,Buy
2024-01-01 00:28:00,99.41938977773597,99.50444984231288,99.42014275462537,99.46615871167563,9095,76.3487609229039,83.44887544988546,57.82597952321097,74.20310565742422,Buy
2024-01-01 00:29:00,99.40926905299271,99.51655647949218,99.39188791496716,99.43714928600326,4669,77.79419083034419,83.24055957717589,44.37275383798319,71.34506064364503,Buy
2024-01-01 00:30:00,99.27615820899766,99.48873097645424,99.35325734724874,99.37733529281887,5715,90.47710813630957,85.74237057893825,44.152675669405795,77.23884187450366,Buy
2024-01-01 00:31:00,99.56394460926343,99.71785504955913,99.50286298486078,99.56158034688579,7069,62.70917696280237,67.74513842614391,56.50216556268084,62.920010624941526,Hold
2024-01-01 00:32:00,99.54783772504344,99.56695154625368,99.43079066836188,99.56023655092936,2961,62.79240223429656,66.76816543604286,40.7023740102138,58.661412298887086,Hold
2024-01-01 00:33:00,99.37179745264199,99.57369691336278,99.22575673417629,99.45498627263724,1875,69.09287211153207,78.60376287667862,36.46951289342574,64.26584407480678,Hold
2024-01-01 00:34:00,99.55694315228281,99.57089805712187,99.41371181684248,99.53682611943962,9734,61.736594447191806,65.55299026159076,67.61632341723875,64.54226522474318,Hold
2024-01-01 00:35:00,99.45096574590724,99.5050631167137,99.36127073670961,99.41538136494614,4516,68.76284118182244,81.86915503544364,53.5290680449534,69.5416077463726,Hold
2024-01-01 00:36:00,99.44743550449276,99.45677967426361,99.42838092842302,99.43614778749613,4865,66.88362578187531,76.16567485262328,60.079169384843986,68.43122885737927,Hold
2024-01-01 00:37:00,99.22539604534472,99.28570628101299,99.18914023113727,99.24147654744961,5499,76.66373462902212,100.0,59.56032438415926,80.55557494764867,Buy
2024-01-01 00:38:00,99.13906174170462,99.15172665969264,98.95683764005685,99.10975289894756,8233,91.2957815778392,100.0,58.380227973485454,86.11336962450703,Buy
2024-01-01 00:39:00,99.16298056040283,99.28833891724989,99.0072396935168,99.12926568798281,6947,90.07466529526509,99.42842440405629,64.92799282345484,87.06181286538944,Buy
2024-01-01 00:40:00,99.21774397442714,99.31401206829914,99.20133209649717,99.20249637367195,1574,73.30688177088247,86.2228256662104,43.12619958874122,70.28229158871193,Buy
2024-01-01 00:41:00,99.1785891849297,99.22967210187471,99.16716579343371,99.21949799169268,2458,71.74094076714144,81.3192415624337,50.44381744667699,69.76906521537762,Hold
2024-01-01 00:42:00,99.22174459835593,99.37541571423247,99.04819968924532,99.20802409065178,8395,72.3504657871904,81.03317786907387,60.20061827870349,72.35195313872788,Buy
2024-01-01 00:43:00,99.23743946843537,99.26059466981606,99.08692287990222,99.17815668478477,4172,73.98709094937377,82.40429884409176,45.26626829178447,69.75290804812774,Hold
2024-01-01 00:44:00,99.0020853753564,99.11793955502439,99.01695358743495,99.03162794883436,3470,90.7888720598947,97.71808829160398,42.54800375288951,81.15388066424164,Buy
2024-01-01 00:45:00,99.06417267943532,98.99274317448403,98.87262156016342,98.96036625674283,4427,92.79858347997443,100.0,44.92355823659634,83.35032295113886,Buy
2024-01-01 00:46:00,98.88879543555736,99.0256885101709,98.83411768252789,98.9147917727496,8798,94.02919532939596,98.08701732623852,47.54530999881824,83.82846169564642,Buy
2024-01-01 00:47:00,99.02101654782503,99.15607263244476,98.98476889091212,99.01941208612084,8736,74.8736337857888,81.53537305010622,57.42890600659641,72.8440605835018,Buy
2024-01-01 00:48:00,99.02013680682781,99.25523554119188,98.9890995463043,99.05344281359129,5206,71.47412760418264,74.70139264832814,56.75128311574774,68.92295924752484,Hold
2024-01-01 00:49:00,98.88999986457762,98.89350427434063,98.84507389253125,98.8789614703864,3200,79.94241092944668,90.70581187639787,46.94631937362581,75.46057837192438,Buy
2024-01-01 00:50:00,98.82484929476414,98.96150932073647,98.8043435239268,98.91101174991974,3964,76.75772560872366,83.02925201686008,54.707921492100844,73.4403088224157,Buy
2024-01-01 00:51:00,98.8459358283599,98.89287669662677,98.77427896908547,98.87293020469153,7905,78.56101581527972,84.26915452243394,60.62861915965665,76.07576519887793,Buy
2024-01-01 00:52:00,98.75206951429271,98.85842726143562,98.68232613043332,98.80602359083555,4313,91.0856628474925,88.81416614935537,48.19913792386827,79.56900777223844,Buy
2024-01-01 00:53:00,98.87316959345291,98.87829973380904,98.6760283921279,98.86647938046228,3927,75.18871270018602,78.94168983247755,51.15858230913487,70.49472209872526,Buy
2024-01-01 00:54:00,99.01767270137655,98.9718840068147,98.90334613234498,98.9684632371144,9873,65.28307540758323,64.57485350471498,71.95292272321956,66.70265957048842,Hold
2024-01-01 00:55:00,99.09267043348818,99.15039452502107,98.93081370312983,99.06067352948828,9470,57.35469233966424,48.85358277418166,79.26080510523093,59.85583218313701,Hold
2024-01-01 00:56:00,98.86020440409632,99.2097391414582,98.80515067558021,98.97757495016917,5458,62.66713497122194,60.07751179165861,64.21139619111122,62.14683216334709,Hold
2024-01-01 00:57:00,99.04800289734158,99.0855074031666,98.84059635618564,98.94697459031163,2648,64.54979529797032,63.974124993430046,50.723436748595276,60.89172105403747,Hold
2024-01-01 00:58:00,98.99437090270057,98.99003286877212,98.94597529613048,98.97975753423688,6527,61.53436299219824,56.082433833320124,72.55250315338147,62.3807228268867,Hold
2024-01-01 00:59:00,99.03789751294737,99.19331960120836,99.0512272306125,99.07636386864095,9184,53.17983233829109,35.39471102272916,80.57460706266583,53.803733558938106,Hold
2024-01-01 01:00:00,99.03668050255949,99.18655687515505,99.01313482959934,99.02890040003957,3341,56.670283970815554,43.01979995658209,59.32701545155964,52.55679743601986,Hold
2024-01-01 01:01:00,99.01923882501602,99.0687087422622,98.91022450415325,99.01051650235179,2518,58.02794588123364,44.16801430693006,52.67487361447773,51.83870176353841,Hold
2024-01-01 01:02:00,98.86806226087289,99.04377233305904,98.88328258913094,98.9010382761127,2838,65.59736525727791,70.64120094334774,49.6470077685993,63.3751183752327,Hold
2024-01-01 01:03:00,98.7925783116224,98.84584483058887,98.55125072755725,98.7828029300491,1870,72.49884283827257,100.0,42.33194539501889,74.58252348406376,Buy
2024-01-01 01:04:00,98.83307082869321,99.03554712782862,98.84987514029486,98.86309912518662,6538,64.86311945595156,74.66998320380671,68.55016061279959,69.21728205691286,Hold
2024-01-01 01:05:00,98.97725681531264,99.06296656125151,98.8921583868642,98.99727218243792,6477,53.76299204478042,34.45166066315113,73.69378552013836,51.986724430049655,Hold
2024-01-01 01:06:00,98.95617619838832,99.01041660478683,98.91043282430549,98.99014363349886,2128,54.26292763839162,37.776643929185624,52.507297809695494,48.053820882995495,Hold
2024-01-01 01:07:00,99.0185519965116,99.13007494440869,99.08592181333518,99.08953336129181,7499,46.70688667256722,10.87956428876149,75.27277317605096,41.308795464106154,Hold
2024-01-01 01:08:00,99.13260223387667,99.26562079665351,99.06719046791068,99.12537418653659,2284,44.14701147637456,4.44627542191397,58.38739528778943,33.811849810167075,Hold
2024-01-01 01:09:00,99.09043737658143,99.14804651672243,99.02856224486604,99.06144707200555,9762,49.33551136054855,24.417168697657555,66.39802967308043,44.879721006669676,Hold
2024-01-01 01:10:00,99.12276568870867,99.10833765435368,99.04670452999315,99.09725391348054,3864,46.565294355354354,18.442182671547492,60.42283392905078,40.186590159446055,Hold
2024-01-01 01:11:00,99.29047508691302,99.29471578436328,99.19295734086272,99.24978638382564,7045,36.11669057231346,0.0,74.33526981876,33.03049368361538,Hold
2024-01-01 01:12:00,99.26232549244762,99.36213695052832,99.22972221532207,99.24623072079004,2977,36.44127682458681,0.0,54.695500608052846,28.250385881847933,Sell
2024-01-01 01:13:00,99.3751603589038,99.43427829068735,99.27875645344977,99.40163725226819,9638,27.429348656101887,0.0,76.32458557600368,30.052885856441677,Hold
2024-01-01 01:14:00,99.18319389934621,99.25139231178609,98.9363532310372,99.14157110198758,6039,47.82855853710058,33.61314794169799,65.3125326201075,47.224158349461405,Hold
2024-01-01 01:15:00,99.15574076093877,99.27930931855106,99.13831613961106,99.22308930298182,8039,43.02753001603519,21.319504322482473,75.06831415648735,43.439917058404774,Hold
2024-01-01 01:16:00,99.1870391696702,99.29566280142828,99.0468818977197,99.23172675793428,9828,42.51962966233913,22.687390485491953,81.54153371794457,45.33382196434398,Hold
2024-01-01 01:17:00,99.1542348609637,99.21659086015984,99.13962495934364,99.20206017771804,3973,44.73619198824338,29.902261307289457,61.77396156809367,43.803758644872076,Hold
2024-01-01 01:18:00,99.26474026256041,99.26308301479669,99.14152889861519,99.21116345344932,5626,44.122341394567314,30.37594219862957,70.46530196559699,45.89684181874652,Hold
2024-01-01 01:19:00,99.06084497384009,99.09344005107761,98.88163786408725,99.01417026260975,1118,57.88920569063864,63.47534026004338,50.34906587437453,57.959317835864276,Hold
2024-01-01 01:20:00,99.016541784571,99.02306115497912,98.9036918141618,98.99242202173151,8999,59.22044158235041,66.74708570277798,65.47819909541151,63.41920640276534,Hold
